CDE Public ID,Version,CRDC Name,CRDC Domain,VD Type,Example,Subset Level,Coding Instruction,Instructions,CRDC Definition,CDE Long Name,Registration Status,Workflow Status,Owned By,Used By
14883047,1,Primary Disease Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,,,,1. Go to https://www.ebi.ac.uk/ols4/ontologies/uberon 2. Use the search field to search for your term. 3. Use the Copy button at the top of the search results to copy the Uberon ID.,"The UBERON identifier of the organ or part of the body where the disease began, i.e., the original, or first, disease site.",Disease Primary Site Uberon Identifier,Standard,RELEASED,CRDC,"CIP,GDC,Pediatric Cancer"
14883054,1,Resection or Biopsy Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,UBERON:0002048,,,1. Go to https://www.ebi.ac.uk/ols4/ontologies/uberon 2. Use the search field to search for your term. 3. Use the Copy button at the top of the search results to copy the Uberon ID.,The UBERON identifier of the organ or part of the body resected or biopsied,Disease Site of Resection or Biopsy Uberon Identifier,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
14883061,1,Progression or Recurrence Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,UBERON:0002048,,,1. Go to https://www.ebi.ac.uk/ols4/ontologies/uberon 2. Use the search field to search for your term. 3. Use the Copy button at the top of the search results to copy the Uberon ID.,The UBERON identifier of the organ or part of the body related to the progressive or recurrent disease.,Disease Progression or Recurrence Anatomic Site Uberon Identifier,Standard,RELEASED,CRDC,"CIP,GDC,Pediatric Cancer"
14883072,1,Body Part Examined Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,UBERON:0002048,,,"1. Go to https://www.ebi.ac.uk/ols4/ontologies/uberon 2. Use the search field to search for your term. 3. Use the Copy button at the top of the search results to copy the Uberon ID. 4. Store selected anatomic term as ""UBERON:0002048"" in your repository",The UBERON identifier of the organ or part of the body assessed.,Disease Body Part Examined Anatomic Site Uberon Identifier,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
14883075,1,Lymph Node Involvement Anatomic Site UBERON Identifier,Diagnosis,Enumerated by Reference,UBERON:0000029,,,1. Go to http://purl.obolibrary.org/obo/UBERON_0002465 (UBERON Lymphoid System (a subtree of UBERON)) 2. Use the search field to search for your term. 3. Use the Copy button at the top of the search results to copy the Uberon ID.,The UBERON identifier of the organ or part of the body describing lymph node involvement in disease.,Disease Lymphoid System Anatomic Site Uberon Identifier,Standard,RELEASED,CRDC,
14905532,1,Primary Diagnosis,Diagnosis,Enumerated by Reference,Multiple Myeloma (C3242),,,Any disease or disorder concept code that is identified in the NCI Thesaurus hierarchy tree under the Disease or Diagnosis (C2991) branch.,The patient's histologic diagnosis that is the main reason for evaluation and treatment.,Disease Primary Diagnosis NCI Thesaurus Text,Standard,RELEASED,CRDC,"CIP,GDC"
14913015,1,Therapeutic Agent,Treatment,Enumerated by Reference,"Tremelimumab, Olaparib, ivolumab, Paclitaxel, Carboplatin, Atezolizumab, Ipilimumab, Valacyclovir, Aglatimagene Besadenovec, Fluorouracil, Potassium",,,,The name of the individual agent(s) used as part of a treatment regimen.,Therapeutic Procedure Pharmacologic Substance or Chemical NCI Thesaurus Name,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
15063661,1,Analyte Type,Specimen,Enumerated,,,,,The sample or material being subjected to analysis.,Specimen Analyte Type,Qualified,RELEASED,Pediatric Cancer,"CRDC,GDC"
15112166,2,Year of Death,Demographics,Non-enumerated,,,,,The year of a subject's death.,Subject Death Year Date,Standard,RELEASED,CRDC,GDC
15114329,1,BSA UCUM Unit of Measure,Clinical Observation,Enumerated,,,,,A symbol assigned to the units of measure for body surface area.,Subject Body Surface Area UCUM Code,Standard,RELEASED,CRDC,
